module	C3002C4_MGX	C3013C2_MGX	M2008C11_MGX	M2075C4_MGX	M2077C1_MGX	P6009C1_MGX	IBDMDB_CD_MSM6J2IY	IBDMDB_CD_PSM7J199	IBDMDB_UC_PSMA267J	G48777_CD	G48780_CD	G48783_Control	G48784_UC	G48787_Control	G48789_Control	G48790_Control	G48791_UC	G48792_Control	G48793_Control	G48794_UC	G48795_CD	G48796_CD	G48798_Control	G48799_UC	G48802_UC	G48804_CD	G48805_CD	G48806_CD	G48807_CD	G48808_Control	G48810_CD	G48812_UC	G48814_UC	G48815_CD	G48817_CD	G48819_CD	G48820_CD	G48821_UC	G48822_UC	G48823_CD	G48826_Control	G48827_CD	G48831_Control	G48832_UC	G48836_UC	G48838_CD	G48839_CD	G48841_CD	G48842_CD	G83831_Control	AST0002	AST0003	AST0005	AST0008	AST0009	AST0011	AST0013	AST0015	AST0017	AST0018	AST0019	AST0022	AST0023	AST0024	AST0025	AST0026	AST0029	AST0030	AST0031	AST0032	AST0033	AST0034	AST0035	AST0037	AST0038	AST0040	AST0042	AST0044	AST0045	AST0049	AST0050	AST0051	AST0055	AST0056	AST0057	AST0058	AST0060	AST0061	AST0064	AST0066	AST0067	AST0068	AST0069	AST0070	AST0071	AST0072	AST0073	AST0074	AST0075	AST0076	AST0077	AST0078	AST0081	AST0083	AST0086	AST0090	AST0091	AST0092	AST0093	AST0095	AST0098	AST0100	AST0104	AST0105	AST0107	AST0109	AST0112	AST0113	AST0114	AST0115	AST0117	AST0118	AST0119	AST0120	AST0121	AST0122	AST0124	AST0126	AST0127	AST0128	AST0130	AST0131	AST0132	AST0133	AST0134	AST0135	AST0136	AST0139	AST0140	AST0141	AST0145	AST0148	AST0149	AST0153	AUS0002	AUS0004	AUS0014	AUS0016	AUS0018	AUS0020	AUS0022	AUS0024	CAN0001	CAN0002	CAN0003	CAN0004	CAN0005	CAN0006	CAN0007	CAN0009	CAN0010	CAN0011	CAN0012	CAN0013	CAN0014	CAN0015	CAN0016	CAN0017	CAN0018	CAN0019	CAN0020	CAN0021	CAN0022	CAN0023	CHI0106	CHI0111	CHI0116	CHI0132	CHI0133	CHI0138	CHI0140	CHI0141	CHI0143	CHI0145	CHI0154	CHI0162	CHI0164	CHI0165	CHI0167	CHI0168	CHI0182	DEN0001	DEN0003	DEN0005	DEN0007	DEN0010	DEN0011	DEN0012	DEN0017	DEN0018	DEN0021	DEN0022	DEN0026	DEN0028	DEN0029	DEN0031	DEN0033	DEN0035	DEN0039	DEN0041	DEN0045	DEN0046	DEN0051	DEN0052	DEN0053	DEN0061	DEN0062	DEN0063	DEN0064	DEN0065	DEN0066	DEN0067	DEN0069	DEN0070	DEN0071	DEN0072	DEN0073	DEN0078	DEN0079	DEN0082	DEN0083	DEN0085	DEN0087	DEN0090	DEN0092	DEN0093	DEN0094	DEN0096	DEN0099	DEN0100	DEN0101	DEN0107	DEN0108	DEN0109	DEN0111	DEN0114	DEN0118	DEN0120	DEN0121	DEN0122	DEN0127	DEN0131	DEN0132	DEN0133	DEN0134	DEN0136	DEN0138	DEN0139	DEN0143	DEN0144	DEN0145	DEN0146	DEN0149	DEN0151	DEN0152	DEN0153	DEN0154	DEN0156	DEN0158	DEN0159	DEN0160	DEN0161	DEN0162	DEN0164	DEN0165	DEN0168	DEN0169	DEN0173	DEN0174	DEN0175	DEN0178	DEN0179	DEN0180	DEN0181	DEN0184	DEN0185	DEN0188	DEN0192	DEN0194	DEN0195	DEN0199	DEN0200	DEN0202	DEN0203	DEN0205	DEN0212	DEN0213	DEN0214	DEN0215	DEN0216	DEN0219	DEN0221	DEN0225	DEN0226	DEN0228	DEN0229	DEN0230	DEN0231	DEN0233	DEN0236	DEN0237	DEN0238	DEN0239	DEN0240	DEN0241	DEN0244	DEN0245	DEN0246	DEN0250	DEN0251	DEN0252	DEN0253	DEN0254	DEN0257	DEN0259	DEN0260	DEN0261	DEN0263	DEN0264	DEN0266	DEN0268	DEN0270	DEN0272	DEN0274	DEN0276	DEN0278	DEN0281	DEN0283	DEN0287	DEN0288	DEN0289	DEN0290	ENG0006	ENG0103	n_209_V6_M_229_non_pouchitis_2	n_209_V7_M_348_non_pouchitis_3	n_210_V10_M_720_non_pouchitis_7	n_210_V5_M_117_non_pouchitis_4	n_210_V6_M_265_non_pouchitis_5	n_210_V7_M_368_non_pouchitis_6	n_211_V10_M_714_non_pouchitis_4	n_211_V5_M_117_non_pouchitis_1	n_211_V6_M_229_non_pouchitis_2	n_211_V7_M_369_non_pouchitis_3	n_212_V10_M_720_non_pouchitis_4	n_212_V5_M_120_non_pouchitis_1	n_212_V6_M_239_non_pouchitis_2	n_212_V7_M_359_non_pouchitis_3	n_213_V10_M_722_non_pouchitis_4	n_213_V5_M_126_non_pouchitis_1	n_213_V6_M_231_non_pouchitis_2	n_213_V7_M_359_non_pouchitis_3	n_216_V10_M_721_non_pouchitis_4	n_216_V6_M_233_non_pouchitis_2	n_217_V10_M_720_non_pouchitis_4	n_217_V6_M_235_non_pouchitis_2	n_423_V6_M_232_non_pouchitis_2	n_423_V7_M_355_non_pouchitis_3	n_427_V6_M_234_non_pouchitis_2	n_503_V5_M_126_non_pouchitis_1	n_503_V6_M_271_non_pouchitis_2	n_503_V7_M_412_non_pouchitis_3	p_200_V10_M_731_without_inflamation_5	p_200_V12_M_282_inflamation_1	p_202_V10_M_743_without_inflamation_6	p_202_V11_M_301_inflamation_3	p_202_V12_M_329_antibiotic_4	p_202_V6_M_238_without_inflamation_2	p_204_V10_M_785_without_inflamation_6	p_204_V12_M_462_antibiotic_4	p_204_V5_M_187_without_inflamation_1	p_204_V6_M_308_without_inflamation_2	p_206_V11_M_482_inflamation_5	p_206_V5_M_118_without_inflamation_1	p_206_V6_M_237_without_inflamation_2	p_206_V7_M_363_without_inflamation_3	p_207_V10_M_719_inflamation_7	p_207_V5_M_124_without_inflamation_1	p_207_V6_M_236_without_inflamation_2	p_207_V7_M_355_without_inflamation_3	p_207_V8_M_482_inflamation_4	p_207_V9_M_601_without_inflamation_6	p_208_V12_M_651_antibiotic_6	p_208_V5_M_119_without_inflamation_1	p_208_V7_M_357_without_inflamation_3	p_208_V9_M_613_inflamation_5	p_214_V6_M_231_without_inflamation_2	p_214_V7_M_358_without_inflamation_3	p_214_V8_M_484_inflamation_4	p_215_V10_M_717_without_inflamation_3	p_215_V6_M_248_without_inflamation_1	p_215_V7_M_371_without_inflamation_2	p_218_V6_M_238_without_inflamation_2	p_500_V5_M_120_without_inflamation_1	p_500_V6_M_260_without_inflamation_2	p_500_V7_M_365_without_inflamation_3	p_502_V5_M_120_without_inflamation_1	p_502_V6_M_234_without_inflamation_2
M00049	9	11	10	16	8	19	12	9	11	32	35	62	51	43	90	92	82	70	54	62	36	58	58	49	50	12	3	12	50	41	31	46	18	34	55	13	16	12	10	41	61	32	47	31	13	47	38	18	30	32	51	50	38	28	16	39	38	32	33	31	34	46	50	49	49	43	43	16	37	32	22	40	24	24	36	31	41	21	23	38	15	42	46	18	9	25	38	52	38	20	30	35	44	42	52	40	37	34	25	47	40	30	45	49	51	35	46	23	31	37	42	21	50	44	42	24	41	50	32	31	33	39	34	46	46	44	43	34	47	54	36	24	5	43	33	29	34	17	37	40	30	44	36	38	36	26	34	28	35	27	48	36	51	22	64	30	24	58	66	34	19	46	71	45	62	54	52	54	39	10	45	55	38	11	25	40	20	43	25	20	36	30	23	17	36	34	23	23	27	22	32	57	34	52	38	52	49	6	35	44	44	44	39	31	11	39	32	39	15	45	49	26	60	55	10	54	20	55	46	38	44	34	39	43	44	21	55	37	57	58	36	39	12	30	14	44	45	40	10	38	41	19	13	15	21	24	43	8	21	39	11	46	39	49	51	34	8	18	35	44	30	47	35	19	11	49	15	44	37	34	19	33	23	15	41	60	32	20	42	21	12	13	42	24	20	52	41	11	40	32	41	29	14	34	29	49	38	32	22	31	47	45	12	52	39	21	29	36	12	14	27	40	53	42	10	47	40	57	9	13	47	13	57	31	38	39	27	47	49	40	27	17	40	10	45	39	59	38	24	40	40	47	34	29	19	17	37	33	41	53	21	38	22	20	29	19	16	27	19	24	31	15	16	24	15	13	17	24	10	20	26	21	18	27	16	12	18	20	10	14	30	12	19	20	18	7	8	17	16	21	11	17	26	34	17	6	22	14	11	31	24	20	25	23	24	29	26	23
M00050	9	7	12	16	11	17	12	9	9	30	42	60	52	42	88	90	76	69	49	60	41	59	61	51	49	12	3	13	56	42	32	49	20	35	57	14	13	11	10	43	62	34	49	37	12	50	35	17	32	30	48	48	40	31	14	45	39	32	31	32	40	46	48	47	48	41	43	16	41	31	22	36	21	31	35	32	41	22	24	37	18	35	48	18	10	23	40	54	41	20	31	32	43	49	46	42	34	34	23	44	38	27	42	43	50	39	46	24	31	33	43	20	47	40	45	25	39	50	27	29	37	44	41	44	42	45	41	31	44	50	37	24	5	45	35	30	36	18	36	39	33	40	34	38	33	22	37	28	37	31	45	37	55	19	59	28	21	61	58	33	18	46	71	44	62	54	48	49	36	10	48	57	36	10	27	47	23	39	23	22	39	40	26	19	29	33	23	21	27	22	34	54	36	40	38	49	52	7	38	48	44	41	39	33	8	39	34	37	17	39	44	22	48	51	7	48	20	61	52	35	42	36	35	44	48	23	53	35	61	54	37	37	14	31	12	41	38	46	9	40	41	14	15	13	20	24	40	9	21	37	11	43	41	46	44	30	12	15	32	40	26	42	34	24	9	55	17	39	34	36	15	34	23	11	41	55	29	25	47	18	9	11	43	23	22	52	42	10	37	32	37	31	13	35	31	50	37	33	29	27	49	46	15	44	41	19	29	40	11	13	29	44	50	43	9	43	37	51	9	13	43	13	56	31	31	34	24	45	46	44	28	16	40	9	40	36	52	37	23	40	44	44	31	33	22	19	40	27	41	50	15	37	25	22	30	21	24	23	23	25	35	20	17	27	14	14	19	26	12	21	27	21	21	30	15	13	20	18	13	12	23	14	20	21	23	8	8	17	15	21	12	18	32	33	17	7	21	14	12	34	24	20	22	27	27	30	26	21
M00051	10	9	8	17	9	20	12	10	11	33	42	63	50	43	83	77	73	60	49	58	36	54	63	46	51	12	3	12	52	44	34	46	18	36	48	16	16	12	11	44	68	31	46	35	14	53	40	18	31	28	43	49	39	28	14	36	28	32	37	33	33	40	44	42	37	44	39	12	42	29	20	38	20	29	32	24	41	21	20	36	17	36	40	19	8	24	41	47	31	24	27	33	37	42	46	43	29	40	26	41	35	27	38	40	47	40	37	25	33	33	38	21	32	41	37	21	34	46	28	31	37	36	34	42	38	42	38	32	44	53	38	22	4	44	35	25	33	18	36	42	32	41	33	36	29	23	30	28	35	26	42	33	54	20	56	30	23	62	54	30	22	49	68	42	58	45	46	49	33	10	47	48	30	10	20	40	20	39	20	20	34	32	23	19	27	30	25	22	26	21	33	46	33	36	37	42	35	7	34	35	35	38	33	27	9	30	34	32	14	38	42	16	51	42	4	39	14	42	44	28	41	30	34	36	38	20	44	22	46	46	32	40	10	25	11	41	37	42	8	29	28	15	15	14	15	17	37	5	16	38	11	36	33	39	40	27	7	14	26	38	22	39	34	16	7	40	17	36	30	34	16	32	18	12	31	46	29	25	41	13	11	9	35	24	22	40	35	8	37	32	35	27	14	28	30	38	35	28	24	25	41	36	15	44	36	23	27	37	12	11	28	33	50	44	11	39	37	47	8	12	39	8	51	30	35	28	24	42	42	34	28	15	35	5	38	33	51	33	20	28	40	34	32	30	18	19	37	31	43	55	21	35	20	20	30	20	22	25	24	25	32	21	18	22	15	13	19	27	12	22	27	21	20	25	15	12	19	20	13	12	23	13	20	20	21	7	8	16	17	24	13	15	32	29	15	7	20	16	11	31	22	22	21	24	27	31	25	23
M00052	6	6	5	6	5	7	5	3	5	11	10	11	8	5	19	17	13	15	10	11	11	7	10	8	15	6	3	3	12	9	9	10	5	12	9	15	8	4	5	9	12	7	11	6	5	16	11	2	8	6	8	10	6	3	4	4	3	4	4	6	5	7	4	8	5	7	9	8	5	5	3	6	3	11	3	4	7	3	4	6	4	7	6	6	2	4	7	8	9	3	4	9	8	6	4	8	5	8	5	11	6	9	10	8	8	4	5	3	8	6	9	2	6	6	8	4	8	6	3	4	9	7	8	7	6	5	8	5	10	6	6	4	5	9	9	4	10	8	5	9	9	8	6	10	7	4	11	7	11	5	16	13	17	5	15	10	8	21	13	5	7	9	17	10	14	18	16	13	11	3	14	18	12	6	8	6	8	7	8	6	6	9	17	5	11	15	8	4	6	5	7	7	2	6	10	12	8	6	9	12	9	15	11	11	4	3	5	6	4	10	10	8	10	7	2	15	4	9	11	10	10	12	12	16	9	9	14	6	11	12	8	12	4	6	1	7	8	11	3	6	4	5	4	3	3	5	9	3	5	11	6	10	8	9	6	9	3	3	8	12	5	11	8	6	1	11	4	9	8	6	6	6	5	4	10	10	5	0	11	3	3	5	13	7	7	8	8	2	8	9	8	7	3	6	5	7	11	4	7	5	10	9	3	13	7	8	7	11	6	5	11	8	9	8	4	13	11	14	3	5	8	2	9	9	10	8	6	8	13	7	7	6	7	4	12	10	10	9	6	11	9	11	9	9	7	11	13	11	12	14	6	14	8	7	5	7	7	10	9	14	12	5	12	7	3	6	9	12	4	15	13	7	8	8	9	8	12	7	5	5	7	6	6	10	8	2	3	5	4	7	4	7	14	17	11	2	8	4	3	12	10	4	15	11	14	11	8	6
M00053	2	1	0	0	0	1	1	0	0	10	10	4	8	5	5	5	7	6	6	5	11	2	8	5	6	2	1	1	6	2	6	8	5	4	7	5	5	4	4	9	5	6	4	5	5	10	6	2	4	4	3	4	3	3	4	3	2	3	3	5	2	2	3	3	3	7	4	2	5	5	3	4	1	4	3	4	7	3	4	2	4	5	6	4	2	4	4	5	6	3	4	3	4	4	2	8	0	2	3	7	4	5	1	4	4	4	4	3	5	4	6	2	4	4	6	4	6	3	2	4	6	6	4	4	5	5	2	5	4	6	6	1	2	3	6	4	4	5	4	7	3	4	4	3	0	1	6	2	6	2	3	5	6	2	6	2	2	8	3	1	2	7	5	3	4	3	1	4	2	1	4	5	4	1	2	5	1	3	3	1	1	2	1	5	5	4	2	3	0	1	5	2	0	2	5	6	4	4	5	4	3	8	6	4	0	3	1	4	0	2	3	3	3	2	2	4	0	5	3	2	3	2	2	3	6	1	3	4	4	8	2	3	0	0	0	4	3	3	0	6	4	1	2	2	0	1	4	0	2	4	0	5	2	5	4	2	1	2	3	4	2	1	1	2	1	4	0	9	2	3	2	4	3	1	2	4	0	0	3	0	2	1	1	5	3	2	2	1	6	4	1	2	0	1	4	4	3	1	3	3	4	2	0	4	3	2	3	2	0	1	1	3	5	4	1	4	3	6	2	2	6	2	4	1	4	1	2	4	0	4	4	2	3	2	1	5	1	4	1	3	4	2	4	4	7	5	5	6	11	12	2	13	8	6	5	7	5	10	5	8	8	4	7	7	3	3	5	5	3	11	13	7	4	7	6	4	6	5	5	2	6	4	4	7	4	2	2	5	4	7	4	7	14	9	4	0	8	4	3	8	6	4	9	1	7	7	8	3
M00060	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	4	3	2	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	1	2	2	1	1	3	0	6	4	1	3	1	3	0	1	0	1	2	2	4	5	1	1	2	1	2	0	1	1	0	0	1	1	3	2	1	1	1	1	1	3	2	1	5	1	0	1	1	2	1	2	0	1	0	2	2	4	0
M00061	3	0	0	0	0	1	2	0	0	9	4	8	6	4	7	5	6	5	7	7	7	11	3	6	5	6	1	1	9	5	3	5	8	6	4	6	13	9	9	3	9	3	5	7	7	10	10	10	7	1	4	5	1	2	5	3	1	2	4	3	4	5	1	5	4	5	2	6	3	6	3	2	3	9	5	3	0	4	8	4	0	2	8	8	3	7	8	3	2	2	1	3	0	6	6	7	2	3	4	10	3	6	8	2	3	3	6	6	1	4	7	3	2	5	5	3	4	4	4	4	1	5	5	5	2	4	4	5	7	4	6	2	3	3	10	5	5	8	8	6	6	4	4	2	8	2	3	3	8	4	5	3	6	3	3	1	3	3	3	3	1	9	9	4	7	6	7	9	4	2	4	3	2	1	1	4	1	6	6	3	10	4	2	7	2	6	4	9	3	5	5	7	8	3	1	6	5	7	5	5	5	1	7	0	1	3	9	4	1	7	2	2	2	5	0	9	4	3	5	5	6	1	4	6	8	1	5	2	3	4	4	3	1	4	1	6	3	3	0	8	2	0	2	4	1	2	4	2	2	7	2	6	2	3	3	4	1	1	6	4	1	4	0	3	1	4	3	4	4	3	0	7	2	1	2	7	2	7	6	3	0	1	1	6	3	4	3	0	6	5	8	1	2	2	9	4	5	5	2	3	5	5	3	4	7	6	4	3	0	3	2	4	2	6	4	8	6	4	1	2	3	1	7	2	5	4	3	7	4	8	3	0	5	0	3	1	6	4	2	0	6	4	3	4	6	5	5	6	4	13	7	9	3	6	10	9	2	15	12	7	10	7	8	7	5	1	7	8	6	13	19	8	7	8	4	2	1	2	3	3	4	5	9	6	6	4	4	6	7	7	8	6	5	7	6	1	7	6	9	8	7	2	5	5	8	4	11	5
M00063	6	6	7	11	8	11	5	8	7	14	9	18	12	10	22	24	22	14	11	21	11	10	16	13	22	2	2	2	10	14	12	8	3	10	11	11	9	2	2	13	14	9	12	2	1	16	17	3	10	4	1	6	0	2	2	4	2	1	1	2	2	5	3	7	8	3	7	3	5	3	0	1	4	9	4	3	1	2	5	2	0	0	1	3	1	1	3	7	8	0	1	9	6	14	8	19	12	13	2	18	6	15	9	2	6	4	1	1	1	7	9	4	2	2	1	0	9	16	1	1	8	9	9	14	9	7	17	6	12	7	4	7	2	12	3	3	12	10	8	7	12	10	12	12	11	6	16	15	15	10	25	18	32	11	30	19	13	29	19	12	10	18	33	19	27	31	32	24	21	4	23	24	20	8	13	17	14	13	11	9	12	16	16	11	18	20	10	7	16	10	15	10	5	9	20	22	13	2	15	14	12	21	18	14	3	9	5	12	6	16	15	12	15	15	3	22	6	13	12	15	17	21	17	20	17	11	22	8	18	11	14	21	5	9	1	10	9	20	5	10	8	6	9	3	10	5	14	3	8	19	6	15	12	14	13	11	4	10	15	14	10	14	14	7	8	18	5	16	12	5	10	10	8	5	13	20	10	2	16	5	4	5	20	13	10	15	14	3	11	11	19	17	4	14	7	13	17	7	13	8	19	16	3	18	13	14	16	19	5	5	12	16	12	12	5	17	11	21	5	5	14	4	15	16	19	14	9	14	20	14	8	11	12	2	15	17	19	10	14	11	13	16	19	12	1	5	17	13	14	15	8	7	7	7	3	5	0	9	4	8	9	4	5	5	4	2	6	7	5	7	11	7	5	6	4	5	5	8	3	5	5	6	3	7	7	1	4	4	5	6	6	5	8	10	7	2	3	3	3	13	5	4	5	17	14	15	7	7
M00064	1	1	0	2	0	4	2	1	0	4	3	4	2	3	4	4	1	1	2	4	3	2	4	1	4	2	2	0	5	3	2	0	1	1	1	8	5	2	2	3	3	2	2	0	1	4	5	2	3	1	0	1	0	1	2	0	1	0	0	1	1	1	1	1	2	0	1	2	0	1	1	0	1	3	1	1	0	1	1	2	0	0	1	3	0	1	1	1	1	0	1	1	4	1	1	5	0	1	1	1	1	1	2	1	1	0	0	2	0	1	2	2	1	1	1	0	1	4	1	1	1	2	1	1	2	1	3	2	0	1	2	1	2	2	3	3	2	5	2	2	1	1	3	0	2	0	3	3	2	1	6	3	6	1	4	2	2	6	2	2	3	5	6	4	8	5	6	4	3	1	3	5	4	1	4	2	3	6	2	1	3	3	8	2	1	2	2	3	3	1	3	6	0	1	4	1	2	2	4	2	3	5	3	2	0	0	1	1	1	2	2	1	2	4	0	6	2	3	4	2	2	3	3	1	1	1	5	1	4	2	4	2	0	1	0	3	0	5	1	2	2	0	1	1	1	1	2	0	3	2	1	1	0	6	6	1	0	0	2	1	1	3	4	0	1	4	1	5	1	1	1	1	0	0	4	3	1	0	0	1	0	0	2	3	2	2	3	0	2	3	3	2	1	2	1	4	5	1	0	1	3	4	0	6	3	3	0	2	1	1	4	4	4	1	2	1	3	1	0	0	2	0	2	3	3	5	2	1	3	3	2	2	3	0	3	3	5	1	2	2	3	2	3	4	1	5	4	4	5	5	2	5	6	1	1	6	0	10	4	3	6	4	3	2	2	3	4	5	5	5	8	4	3	2	3	5	5	2	1	0	0	4	2	4	6	1	4	2	4	3	5	4	4	8	4	0	3	2	2	7	2	1	4	4	5	5	5	1
M00082	4	2	1	2	0	5	5	1	1	20	25	33	26	34	44	24	35	27	25	23	28	37	36	28	24	10	2	11	40	24	14	34	15	23	27	8	11	9	10	25	38	22	31	28	10	29	21	16	23	12	33	27	29	19	11	23	5	25	23	25	20	26	10	19	17	24	25	9	28	19	17	23	16	19	26	9	22	18	14	25	11	24	22	14	8	18	23	21	13	16	20	15	15	14	18	15	18	9	11	19	9	12	14	14	24	23	20	19	23	21	13	6	11	26	29	16	15	23	16	23	22	16	21	17	14	24	8	10	20	21	26	4	3	25	20	19	17	11	16	24	12	17	15	12	15	14	16	10	16	15	13	19	14	6	14	7	9	18	9	10	7	22	26	15	18	16	20	16	12	3	14	17	7	2	6	16	7	14	6	8	16	10	14	12	8	9	11	7	6	6	7	13	24	12	18	22	6	6	11	15	8	16	14	12	2	13	17	9	1	18	13	6	20	16	1	20	7	14	7	12	16	12	19	21	16	3	17	7	11	11	18	18	4	6	4	21	9	18	1	13	7	9	4	6	6	6	17	1	5	15	3	18	18	10	12	12	2	3	16	13	4	4	9	6	1	22	2	17	12	14	8	11	7	2	11	19	6	11	17	8	1	3	10	14	9	10	9	1	20	18	19	8	3	8	14	15	13	9	12	7	17	17	4	24	17	4	7	14	1	6	6	7	22	23	3	18	14	25	1	6	21	6	19	10	10	13	9	19	15	18	14	2	9	1	19	13	21	19	6	3	16	14	20	19	14	11	22	20	25	40	11	25	17	15	22	16	18	22	16	17	25	12	12	15	11	8	14	18	8	13	19	14	13	24	10	9	11	10	8	8	18	7	18	14	12	5	3	11	9	15	6	9	15	24	10	5	15	15	10	20	18	15	14	11	16	18	16	14
M00083	15	13	18	23	18	25	16	15	13	50	52	73	55	47	96	79	71	62	57	58	43	64	59	50	61	13	5	18	67	49	38	53	21	44	52	23	25	15	13	50	69	46	55	33	13	50	46	25	35	29	47	53	46	26	21	33	16	30	29	35	33	46	34	49	46	45	48	20	43	34	19	32	23	33	39	28	34	22	28	37	15	29	39	21	9	24	46	44	31	19	30	30	33	42	53	51	44	40	24	56	24	36	51	29	46	41	49	23	30	43	40	17	34	37	39	19	39	54	29	31	37	37	49	45	36	44	42	26	53	45	41	32	11	47	39	23	41	24	37	42	37	46	43	39	31	21	36	25	37	35	46	41	63	27	56	36	32	69	48	37	25	46	72	46	61	61	56	53	42	15	55	56	39	17	32	40	25	45	25	19	31	38	30	25	37	33	24	26	27	24	30	33	37	37	44	48	30	11	37	40	46	42	43	25	9	37	39	33	7	44	55	21	41	36	6	47	22	47	39	40	37	38	43	54	43	23	60	20	42	42	42	43	14	21	8	47	33	42	3	43	33	23	19	21	19	17	38	8	20	44	16	42	35	47	39	33	11	16	39	38	26	33	25	18	10	46	16	40	37	29	22	32	22	13	41	48	32	24	46	21	15	9	42	29	25	33	37	11	41	34	44	29	11	29	32	42	41	27	30	25	48	38	9	46	40	25	35	40	10	21	30	31	56	41	14	53	45	56	6	12	46	14	45	37	36	36	21	52	50	43	32	19	37	5	37	30	50	44	24	33	40	47	44	33	15	15	50	43	51	68	26	45	25	31	32	22	15	46	26	26	36	16	21	26	18	14	22	28	16	30	35	27	21	35	17	11	21	23	15	20	31	16	24	22	21	6	11	20	19	27	18	20	29	39	20	10	23	16	15	39	31	28	16	29	29	37	27	32
M00086	20	10	30	32	34	40	15	30	31	45	44	52	39	27	101	93	84	57	34	67	34	45	58	47	61	1	1	8	41	47	52	35	5	35	56	4	25	4	2	44	40	32	61	25	6	62	49	14	36	22	36	31	28	11	9	21	49	16	19	6	22	21	31	33	31	32	35	7	25	14	13	20	13	27	26	15	19	12	14	15	17	15	30	4	7	19	34	33	28	10	12	26	30	56	30	60	40	32	16	57	26	42	33	28	47	30	28	6	13	21	36	18	44	21	27	20	26	48	9	17	32	22	36	49	46	34	46	44	48	46	11	30	2	43	16	12	44	18	36	39	50	42	54	60	46	25	52	34	40	50	65	41	95	32	92	49	44	87	76	42	29	46	92	54	75	84	79	85	66	13	68	81	55	28	32	73	43	69	19	30	53	55	38	22	58	51	34	18	31	31	36	52	18	33	63	61	61	4	43	53	42	56	48	42	20	41	28	44	15	53	61	38	57	69	11	56	23	67	46	58	54	48	44	57	57	37	70	29	70	60	40	69	17	33	25	40	41	64	11	26	61	22	22	14	29	21	47	12	20	55	18	43	38	52	48	35	20	36	51	67	35	36	39	48	11	56	23	47	40	22	41	32	23	19	44	64	41	12	61	14	15	12	60	31	35	69	45	16	36	33	50	44	11	44	23	58	43	28	37	36	68	52	20	56	45	37	40	55	14	25	35	52	44	38	15	62	36	67	13	20	55	26	50	44	48	42	24	43	58	52	32	29	39	13	48	56	53	45	38	77	53	65	65	38	10	4	44	39	40	50	29	21	10	28	11	9	4	27	11	15	20	7	15	19	20	14	16	18	9	17	15	21	18	21	14	8	15	22	7	22	27	14	8	19	6	3	8	16	21	20	13	13	31	23	10	10	9	7	7	40	22	26	17	44	41	39	9	24
